COURSE TITLE,COURSE CODE2,R1 POINTS,R2 POINTS,CATEGORY (i.e.ISCED description),HEI
Counselling Skills and Psychotherapy Studies,CI001,300,,Welfare,Irish College of Humanities & Applied Sciences
Counselling Skills and Addiction Studies,CI002,309,,Welfare,Irish College of Humanities & Applied Sciences
Counselling Skills and Youth Studies,CI005,306,302,Welfare,Irish College of Humanities & Applied Sciences
Counselling and Psychotherapy,CI110,310,,Welfare,Irish College of Humanities & Applied Sciences
Counselling and Addiction Studies,CI111,301,,Welfare,Irish College of Humanities & Applied Sciences
Counselling and Youth Studies,CI112,311,,Welfare,Irish College of Humanities & Applied Sciences
Arts - 3 years,CK101,300,,Arts,University College Cork (NUI)
Social Science,CK102,412,,Social and behavioural sciences,University College Cork (NUI)
Arts with Music - 3 or 4 years (BMus or Chinese/European/Int`l Pathway),CK104,302,,Arts,University College Cork (NUI)
Film and Screen Media - 3 years or 4 years (International Pathway),CK105,368,337,Arts,University College Cork (NUI)
Geographical and Archaeological Sciences - 3 or 4 years (Int`l Pathway),CK107,328,,Humanities (except languages),University College Cork (NUI)
Arts International - 4 years,CK108,401,,Languages,University College Cork (NUI)
English - 3 years or 4 years (International Pathway),CK109,318,,Languages,University College Cork (NUI)
World Languages,CK110,452,433,Languages,University College Cork (NUI)
Early Years and Childhood Studies,CK111,419,,Welfare,University College Cork (NUI)
Theatre and Performative Practices - 3 or 4 years (Int`l Pathway),CK112,330,,Arts,University College Cork (NUI)
Criminology - 3 years or 4 years (International Pathway),CK113,423,,Social and behavioural sciences,University College Cork (NUI)
Social Science (Youth and Community Work) - 3 years,CK114,,,Welfare,University College Cork (NUI)
Social Work - Mature Applicants only,CK115,,,Welfare,University College Cork (NUI)
Digital Humanities and IT - 3 or 4 years (Work Exper. or Int`l Pathway),CK118,336,,Arts,University College Cork (NUI)
Applied Psychology,CK120,533,532,Social and behavioural sciences,University College Cork (NUI)
Psychology and Computing - 3 or 4 years (Work Experience Pathway),CK121,466,,Social and behavioural sciences,University College Cork (NUI)
Government and Political Science,CK122,337,328,Social and behavioural sciences,University College Cork (NUI)
Anthropology,CK123,308,,Humanities (except languages),University College Cork (NUI)
Education - Gaeilge,CK124,463,462,Education,University College Cork (NUI)
Sports Studies and Physical Education,CK125,510,509,Education,University College Cork (NUI)
Commerce,CK201,477,,Business and administration,University College Cork (NUI)
Accounting,CK202,509,,Business and administration,University College Cork (NUI)
Business Information Systems,CK203,430,,Information and Communication Technologies (ICTs),University College Cork (NUI)
Finance,CK204,556,,Business and administration,University College Cork (NUI)
Commerce (International) with French,CK205,445,,Business and administration,University College Cork (NUI)
Commerce (International) with German,CK206,420,418,Business and administration,University College Cork (NUI)
Commerce (International) with Italian,CK207,388,,Business and administration,University College Cork (NUI)
Commerce (International) with Hispanic Studies,CK208,402,,Business and administration,University College Cork (NUI)
Commerce (International) with Irish,CK209,484,,Business and administration,University College Cork (NUI)
Commerce (International) with Chinese Studies,CK211,397,,Business and administration,University College Cork (NUI)
Economics (through Transformational Learning) 3 or 4 years Int`l Pathway,CK212,444,,Social and behavioural sciences,University College Cork (NUI)
Food Marketing and Entrepreneurship,CK213,462,,Business and administration,University College Cork (NUI)
International Development,CK214,346,,Social and behavioural sciences,University College Cork (NUI)
Law (Pathways) -  3 or 4 years,CK301,507,499,Law,University College Cork (NUI)
Law and French,CK302,542,,Law,University College Cork (NUI)
Law and Irish,CK304,540,,Law,University College Cork (NUI)
Law and Business,CK307,556,,Law,University College Cork (NUI)
Computer Science,CK401,468,,Information and Communication Technologies (ICTs),University College Cork (NUI)
Biological and Chemical Sciences,CK402,510,509,Biological and related sciences,University College Cork (NUI)
"Biological, Earth and Environmental Sciences",CK404,467,,Biological and related sciences,University College Cork (NUI)
Genetics,CK405,487,,Biological and related sciences,University College Cork (NUI)
Chemical Sciences,CK406,485,472,Physical sciences,University College Cork (NUI)
Mathematical Sciences,CK407,566,565,Mathematics and statistics,University College Cork (NUI)
Physics and Astrophysics,CK408,554,542,Physical sciences,University College Cork (NUI)
Industrial Physics - Offered jointly by UCC and CIT,CK409,432,,Physical sciences,University College Cork (NUI)
Data Science and Analytics,CK411,510,,Information and Communication Technologies (ICTs),University College Cork (NUI)
Agricultural Science,CK412,496,496,Agriculture,University College Cork (NUI)
Nutritional Sciences,CK504,518,,Biological and related sciences,University College Cork (NUI)
Food Science,CK505,441,440,Manufacturing and processing,University College Cork (NUI)
Engineering,CK600,487,,Engineering and engineering trades,University College Cork (NUI)
Architecture - Offered jointly by UCC and CIT,CK606,484,476,Architecture and construction,University College Cork (NUI)
Medicine (Undergraduate Entry - HPAT required),CK701,731,,Health,University College Cork (NUI)
Dentistry,CK702,613,613,Health,University College Cork (NUI)
Pharmacy,CK703,590,589,Health,University College Cork (NUI)
Occupational Therapy,CK704,566,555,Health,University College Cork (NUI)
Speech and Language Therapy,CK705,520,,Health,University College Cork (NUI)
Public Health Sciences,CK706,454,,Health,University College Cork (NUI)
Medical and Health Sciences,CK707,542,541,Health,University College Cork (NUI)
General Nursing,CK710,454,,Health,University College Cork (NUI)
Children`s and General Nursing (Integrated),CK712,533,,Health,University College Cork (NUI)
Mental Health Nursing,CK720,423,,Health,University College Cork (NUI)
Intellectual Disability Nursing,CK730,419,411,Health,University College Cork (NUI)
Midwifery,CK740,484,,Health,University College Cork (NUI)
Medicine  - Graduate Entry (GAMSAT required),CK791,57,,Health,University College Cork (NUI)
Education - Primary Teaching,CM001,484,,Education,Marino Institute of Education
Education - Primary Teaching - Gaeltacht Applicants,CM002,,,Education,Marino Institute of Education
Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge – Gaeltacht,CM003,528,,Education,Marino Institute of Education
Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge – Gaeltacht,CM004,494,,Education,Marino Institute of Education
Education Studies,CM010,319,,Education,Marino Institute of Education
Early Childhood Education,CM020,327,,Education,Marino Institute of Education
Applied Physics and Instrumentation,CR001,250,,Physical sciences,Cork Institute of Technology
Applied Biosciences,CR006,361,,Biological and related sciences,Cork Institute of Technology
Analytical and Pharmaceutical Chemistry,CR007,240,,Physical sciences,Cork Institute of Technology
Agriculture (Year 1 - 2 days in Clonakilty Agri College & 3 days in CIT),CR010,321,,Agriculture,Cork Institute of Technology
Software Development,CR016,307,,Information and Communication Technologies (ICTs),Cork Institute of Technology
Business (Common Entry),CR021,255,,Business and administration,Cork Institute of Technology
Business Administration,CR022,190,,Business and administration,Cork Institute of Technology
Social Care Work,CR031,346,,Welfare,Cork Institute of Technology
Recreation and Leisure Management,CR032,298,,Personal services,Cork Institute of Technology
Community Development,CR035,100,,Welfare,Cork Institute of Technology
Tourism Management,CR041,216,,Personal services,Cork Institute of Technology
Hospitality Management,CR042,208,,Personal services,Cork Institute of Technology
Automotive Technology and Management,CR046,216,,Transport services,Cork Institute of Technology
Civil Engineering,CR051,248,,Architecture and construction,Cork Institute of Technology
Construction,CR052,251,,Architecture and construction,Cork Institute of Technology
Interior Architecture,CR053,308,,Arts,Cork Institute of Technology
Environmental Engineering,CR055,258,,Engineering and engineering trades,Cork Institute of Technology
Electronic Engineering,CR061,260,,Engineering and engineering trades,Cork Institute of Technology
Electrical Engineering,CR062,300,,Engineering and engineering trades,Cork Institute of Technology
Mechanical Engineering,CR071,261,,Engineering and engineering trades,Cork Institute of Technology
Biomedical Engineering,CR075,306,,Health,Cork Institute of Technology
Architectural Technology,CR090,266,,Architecture and construction,Cork Institute of Technology
Nautical Science at National Maritime College of Ireland,CR094,243,,Transport services,Cork Institute of Technology
Marine Engineering at National Maritime College of Ireland,CR095,255,,Engineering and engineering trades,Cork Institute of Technology
Chemical and Biopharmaceutical Engineering,CR105,443,,Engineering and engineering trades,Cork Institute of Technology
Software Development,CR106,411,,Information and Communication Technologies (ICTs),Cork Institute of Technology
Mechanical Engineering,CR108,434,,Engineering and engineering trades,Cork Institute of Technology
Structural Engineering,CR109,394,,Architecture and construction,Cork Institute of Technology
Automotive Business Management and Technology,CR110,311,,Transport services,Cork Institute of Technology
Creative Digital Media,CR112,361,,Arts,Cork Institute of Technology
Computer Systems,CR116,332,,Information and Communication Technologies (ICTs),Cork Institute of Technology
Music at CIT Cork School of Music,CR121,868,,Arts,Cork Institute of Technology
Popular Music: Electric Bass Guitar at CIT Cork School of Music,CR125,1088,,Arts,Cork Institute of Technology
Popular Music: Drums at CIT Cork School of Music,CR126,801,,Arts,Cork Institute of Technology
Popular Music: Electric Guitar at CIT Cork School of Music,CR127,838,768,Arts,Cork Institute of Technology
Popular Music: Keyboards at CIT Cork School of Music,CR128,840,,Arts,Cork Institute of Technology
Popular Music: Voice at CIT Cork School of Music,CR129,841,,Arts,Cork Institute of Technology
Musical Theatre at CIT Cork School of Music,CR130,548,518,Arts,Cork Institute of Technology
Business Information Systems,CR150,335,,Business and administration,Cork Institute of Technology
"Contemporary Applied Art (Ceramics, Glass, Textiles) at CIT Crawford",CR210,#+matric,,Arts,Cork Institute of Technology
Fine Art at CIT Crawford College of Art and Design,CR220,#+matric,,Arts,Cork Institute of Technology
Photography with New Media,CR225,#+matric,,Arts,Cork Institute of Technology
Physical Sciences (Common Entry),CR300,282,,Physical sciences,Cork Institute of Technology
Physical Sciences (Common Entry),CR305,282,,Physical sciences,Cork Institute of Technology
IT Management,CR310,297,,Information and Communication Technologies (ICTs),Cork Institute of Technology
Biomedical Science - Offered jointly by CIT and UCC,CR320,565,,Biological and related sciences,Cork Institute of Technology
Pharmaceutical Biotechnology,CR325,398,,Biological and related sciences,Cork Institute of Technology
Nutrition and Health Science,CR333,402,,Health,Cork Institute of Technology
Biological Sciences (Common Entry),CR335,420,,Biological and related sciences,Cork Institute of Technology
Analytical Chemistry with Quality Assurance,CR340,251,,Physical sciences,Cork Institute of Technology
Instrument Engineering,CR360,261,,Physical sciences,Cork Institute of Technology
Environmental Science and Sustainable Technology,CR365,253,,Environment,Cork Institute of Technology
Agri-Biosciences,CR370,397,,"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",Cork Institute of Technology
Accounting,CR400,316,,Business and administration,Cork Institute of Technology
Marketing,CR420,285,,Business and administration,Cork Institute of Technology
International Business with Language,CR425,298,,Business and administration,Cork Institute of Technology
Sport and Exercise Management,CR430,322,,Personal services,Cork Institute of Technology
Montessori Education,CR440,288,,Education,Cork Institute of Technology
Engineering (Common Entry),CR500,411,,Engineering and engineering trades,Cork Institute of Technology
Sustainable Energy Engineering,CR510,320,,Environment,Cork Institute of Technology
Biomedical Engineering,CR520,444,,Health,Cork Institute of Technology
Architectural Technology,CR560,308,,Architecture and construction,Cork Institute of Technology
Interior Architecture,CR565,359,,Architecture and construction,Cork Institute of Technology
Quantity Surveying,CR570,336,,Architecture and construction,Cork Institute of Technology
Construction Management,CR572,269,,Architecture and construction,Cork Institute of Technology
Electrical Engineering,CR580,318,,Engineering and engineering trades,Cork Institute of Technology
Electronic Engineering,CR590,303,,Engineering and engineering trades,Cork Institute of Technology
Visual Communications,CR600,#+matric,,Arts,Cork Institute of Technology
Early Childhood Education and Care,CR620,365,357,Welfare,Cork Institute of Technology
Culinary Arts,CR640,244,,Personal services,Cork Institute of Technology
Beverage Industry Management,CR650,209,,Personal services,Cork Institute of Technology
Culinary Studies,CR655,189,,Personal services,Cork Institute of Technology
Hospitality Studies,CR657,180,163,Personal services,Cork Institute of Technology
Tourism Management,CR660,252,,Personal services,Cork Institute of Technology
Theatre and Drama Studies at CIT Cork School of Music,CR700,740,645,Arts,Cork Institute of Technology
Marine Electrotechnology at National Maritime College of Ireland,CR805,235,,Engineering and engineering trades,Cork Institute of Technology
Information Technology,CR888,290,,Information and Communication Technologies (ICTs),Cork Institute of Technology
Computing in Information Technology,CT110,210,,Information and Communication Technologies (ICTs),CCT College Dublin
Information Technology,CT116,219,,Information and Communication Technologies (ICTs),CCT College Dublin
Information Technology,CT125,220,,Information and Communication Technologies (ICTs),CCT College Dublin
Business,CT325,338,,Business and administration,CCT College Dublin
Business,CW006,AQA,AQA,Business and administration,"Institute of Technology, Carlow"
Business (options),CW018,298,248,Business and administration,"Institute of Technology, Carlow"
Sustainable Farm Management and Agribusiness,CW027,266,,Agriculture,"Institute of Technology, Carlow"
Early Childhood Education and Care,CW028,252,,Welfare,"Institute of Technology, Carlow"
Business (options),CW037,195,,Business and administration,"Institute of Technology, Carlow"
Art (portfolio),CW038,700,,Arts,"Institute of Technology, Carlow"
Visual Communications and Design,CW047,214,181,Arts,"Institute of Technology, Carlow"
Art (portfolio),CW057,700,,Arts,"Institute of Technology, Carlow"
Tourism and Event Management,CW058,298,,Personal services,"Institute of Technology, Carlow"
Applied Social Studies in Professional Social Care,CW068,245,,Welfare,"Institute of Technology, Carlow"
Tourism and Event Management,CW077,217,,Personal services,"Institute of Technology, Carlow"
Sustainable Farm Management and Agribusiness,CW078,269,,Agriculture,"Institute of Technology, Carlow"
Visual Communications and Design,CW088,274,,Arts,"Institute of Technology, Carlow"
Physiology and Health Science,CW106,451,,Health,"Institute of Technology, Carlow"
Analytical Science,CW107,277,,Environment,"Institute of Technology, Carlow"
Science (options),CW108,261,,Biological and related sciences,"Institute of Technology, Carlow"
Pharmacy Technician Studies,CW116,250,,Health,"Institute of Technology, Carlow"
Biosciences,CW117,205,,Environment,"Institute of Technology, Carlow"
Science - Applied Biology or Applied Chemistry,CW126,191,,Biological and related sciences,"Institute of Technology, Carlow"
Brewing and Distilling,CW128,263,,Biological and related sciences,"Institute of Technology, Carlow"
Sport and Exercise Science,CW138,423,,Personal services,"Institute of Technology, Carlow"
Strength and Conditioning,CW148,379,,Personal services,"Institute of Technology, Carlow"
Sport Rehabilitation and Athletic Therapy,CW188,451,448,Health,"Institute of Technology, Carlow"
Computing - Applications or Programming,CW206,235,,Information and Communication Technologies (ICTs),"Institute of Technology, Carlow"
Software Development,CW207,244,,Information and Communication Technologies (ICTs),"Institute of Technology, Carlow"
Computer Games Development,CW208,279,,Information and Communication Technologies (ICTs),"Institute of Technology, Carlow"
Information Technology Management,CW217,234,,Information and Communication Technologies (ICTs),"Institute of Technology, Carlow"
Cybercrime and IT Security,CW227,233,,Information and Communication Technologies (ICTs),"Institute of Technology, Carlow"
Computing in Interactive Digital Art and Design,CW237,212,,Information and Communication Technologies (ICTs),"Institute of Technology, Carlow"
Software Development,CW238,297,,Information and Communication Technologies (ICTs),"Institute of Technology, Carlow"
Information Technology Management,CW248,285,,Information and Communication Technologies (ICTs),"Institute of Technology, Carlow"
Cybercrime and IT Security,CW258,293,,Information and Communication Technologies (ICTs),"Institute of Technology, Carlow"
Computing in Interactive Digital Art and Design,CW268,287,,Information and Communication Technologies (ICTs),"Institute of Technology, Carlow"
Architectural Technology,CW407,188,,Architecture and construction,"Institute of Technology, Carlow"
Construction Management with Building Services,CW417,220,,Architecture and construction,"Institute of Technology, Carlow"
Civil Engineering,CW427,199,,Architecture and construction,"Institute of Technology, Carlow"
Construction (options),CW438,272,,Architecture and construction,"Institute of Technology, Carlow"
Architectural Technology,CW468,262,,Architecture and construction,"Institute of Technology, Carlow"
Civil Engineering,CW478,433,,Architecture and construction,"Institute of Technology, Carlow"
Aircraft Systems,CW507,293,,Engineering and engineering trades,"Institute of Technology, Carlow"
Mechanical Engineering,CW517,276,,Engineering and engineering trades,"Institute of Technology, Carlow"
Electronic Engineering,CW527,227,,Engineering and engineering trades,"Institute of Technology, Carlow"
TV and Media Production,CW547,301,,Arts,"Institute of Technology, Carlow"
Mechanical Engineering,CW548,321,,Engineering and engineering trades,"Institute of Technology, Carlow"
Electronic Systems,CW558,280,,Engineering and engineering trades,"Institute of Technology, Carlow"
Aerospace Engineering,CW568,380,,Engineering and engineering trades,"Institute of Technology, Carlow"
TV and Media Production,CW578,325,,Arts,"Institute of Technology, Carlow"
Legal Studies,CW706,163,,Law,"Institute of Technology, Carlow"
Industrial Design,CW707,207,,Arts,"Institute of Technology, Carlow"
Law - LLB,CW708,302,,Law,"Institute of Technology, Carlow"
Professional Social Care Practice,CW717,288,,Welfare,"Institute of Technology, Carlow"
Product Design Innovation,CW728,252,,Arts,"Institute of Technology, Carlow"
Early Childhood Education and Care,CW748,270,,Welfare,"Institute of Technology, Carlow"
Professional Social Care Practice,CW758,336,,Welfare,"Institute of Technology, Carlow"
Sport Coaching and Business Management - GAA (portfolio),CW807,700,,Personal services,"Institute of Technology, Carlow"
Media and Public Relations,CW808,251,,Business and administration,"Institute of Technology, Carlow"
Sport Coaching and Business Management - Rugby (portfolio),CW817,700,,Personal services,"Institute of Technology, Carlow"
Sport Coaching and Business Management - Soccer (portfolio),CW827,700,,Personal services,"Institute of Technology, Carlow"
Digital Marketing with Analytics,CW837,200,,Information and Communication Technologies (ICTs),"Institute of Technology, Carlow"
Digital Marketing with Analytics,CW848,254,,Information and Communication Technologies (ICTs),"Institute of Technology, Carlow"
"Sports Management and Coaching (options, portfolio)",CW858,700,,Personal services,"Institute of Technology, Carlow"
Business,CW906,177,,Business and administration,"Institute of Technology, Carlow"
Business (options),CW908,280,,Business and administration,"Institute of Technology, Carlow"
Business (options),CW917,224,,Business and administration,"Institute of Technology, Carlow"
Business with Law,CW926,210,,Business and administration,"Institute of Technology, Carlow"
Accounting,CW936,231,,Business and administration,"Institute of Technology, Carlow"
Business with Law,CW938,283,,Business and administration,"Institute of Technology, Carlow"
Accounting,CW948,300,,Business and administration,"Institute of Technology, Carlow"
Computing,DB500,218,218,Information and Communication Technologies (ICTs),Dublin Business School
Computing (Cloud Computing),DB501,227,227,Information and Communication Technologies (ICTs),Dublin Business School
Computing (Data Analytics and Big Data),DB502,341,341,Information and Communication Technologies (ICTs),Dublin Business School
Computing (Software Development),DB503,225,225,Information and Communication Technologies (ICTs),Dublin Business School
Computing (Web and Mobile Technology),DB504,,281,Information and Communication Technologies (ICTs),Dublin Business School
Audio Production and Music Project Management,DB510,234,223,Arts,Dublin Business School
Business Studies,DB512,218,203,Business and administration,Dublin Business School
Business Studies (Law),DB514,252,,Business and administration,Dublin Business School
Business Studies (Human Resource Management),DB515,244,244,Business and administration,Dublin Business School
Financial Services,DB516,,,Business and administration,Dublin Business School
Marketing (Event Management),DB517,238,,Business and administration,Dublin Business School
Accounting and Finance,DB521,225,195,Business and administration,Dublin Business School
Business (Information Systems),DB524,342,309,Information and Communication Technologies (ICTs),Dublin Business School
Business (Cloud Computing),DB526,347,,Information and Communication Technologies (ICTs),Dublin Business School
Applied Social Care,DB527,234,260,Social and behavioural sciences,Dublin Business School
Applied Social Care,DB528,AQA,AQA,Social and behavioural sciences,Dublin Business School
Marketing,DB531,293,,Business and administration,Dublin Business School
Sound Engineering and Music Production,DB534,AQA,AQA,Arts,Dublin Business School
Psychology,DB562,243,229,Social and behavioural sciences,Dublin Business School
Arts,DB563,161,189,Arts,Dublin Business School
Social Science,DB566,220,227,Social and behavioural sciences,Dublin Business School
Film and Creative Media,DB567,218,202,Arts,Dublin Business School
Law,DB568,219,252,Law,Dublin Business School
Business (Psychology),DB569,252,,Business and administration,Dublin Business School
Business Studies,DB571,173,211,Business and administration,Dublin Business School
Business in Accounting,DB572,119,117,Business and administration,Dublin Business School
Business in Marketing,DB573,117,146,Business and administration,Dublin Business School
Business in Information Technology,DB574,136,388,Information and Communication Technologies (ICTs),Dublin Business School
Film and Creative Media,DB576,AQA,AQA,Arts,Dublin Business School
Education - Early Childhood Education,DC001,440,,Education,Dublin City University
Education - Primary Teaching,DC002,488,,Education,Dublin City University
Education - Primary Teaching - Gaeltacht Applicants,DC003,445,,Education,Dublin City University
Education - Primary Teaching (Church of Ireland Centre formerly CICE),DC004,411,409,Education,Dublin City University
Arts (Joint Honours) - Humanities,DC009,376,,Arts,Dublin City University
Post Primary Teacher Education - Religious Education and English,DC010,441,429,Education,Dublin City University
Post Primary Teacher Education - Religious Education and History,DC011,412,391,Education,Dublin City University
Post Primary Teacher Education - Religious Education and Music,DC012,378,,Education,Dublin City University
Post Primary Teacher Ed - Gaeilge with French/German/Spanish,DC013,419,,Education,Dublin City University
BA in Jazz and Contemporary Music Performance (audition),DC014,419,,Arts,Dublin City University
Business Studies International,DC110,465,,Languages,Dublin City University
Business Studies,DC111,488,,Business and administration,Dublin City University
Global Business (France),DC112,517,510,Business and administration,Dublin City University
Global Business (Germany),DC113,462,,Business and administration,Dublin City University
Global Business (Spain),DC114,522,,Business and administration,Dublin City University
Accounting and Finance,DC115,510,,Business and administration,Dublin City University
Global Business (USA),DC116,579,,Business and administration,Dublin City University
Aviation Management / Aviation Management with Pilot Studies,DC117,476,475,Engineering and engineering trades,Dublin City University
Gnó agus Gaeilge / Business and Irish,DC118,359,,Business and administration,Dublin City University
Global Business (Canada),DC119,564,,Business and administration,Dublin City University
Enterprise Computing,DC120,357,,Information and Communication Technologies (ICTs),Dublin City University
Computer Applications,DC121,400,,Information and Communication Technologies (ICTs),Dublin City University
Data Science,DC123,465,,Information and Communication Technologies (ICTs),Dublin City University
Actuarial Mathematics,DC126,560,,Mathematics and statistics,Dublin City University
Common Entry into Actuarial and Financial Mathematics,DC127,532,520,Mathematics and statistics,Dublin City University
Communication Studies,DC131,407,402,Humanities (except languages),Dublin City University
Journalism,DC132,429,422,Journalism and information,Dublin City University
Multimedia,DC133,411,410,Arts,Dublin City University
Applied Language and Translation Studies,DC155,387,,Languages,Dublin City University
Analytical Science,DC161,498,489,Physical sciences,Dublin City University
Chemical and Pharmaceutical Sciences,DC162,521,,Physical sciences,Dublin City University
